q,purchase_rate,shop_id
0,0.0,1543559655939246
1,0.06666667014360428,6515295840140210
2,0.01666666753590107,9230153951388399
3,0.0,10653466129289268
4,0.012048192322254181,12057125006548226
5,0.01342281885445118,13902855225429796
6,0.0,17074386468227768
7,0.02777777798473835,17705093901583386
8,0.043478261679410934,18720162083472464
9,0.02552926540374756,20482721174257713
10,0.0,23054388582443103
11,0.0,24810792686998304
12,0.004524887073785067,26715097524288480
13,0.011299435049295425,35444926291261877
14,0.0555555559694767,37029084460364755
15,0.0,37464236733358835
16,0.0,37911650745346584
17,0.0,39934323035273919
18,0.0,40610581834494773
19,0.0,42425159371660486
20,0.0,45677417567331780
21,0.025316456332802773,46147535924591121
22,0.0,47411552422016778
23,0.04615384712815285,49289748586228828
24,0.1428571492433548,50315264798988801
25,0.03448275849223137,50725926391836288
26,0.0,51860955802034994
27,0.005102040711790323,54085639368125671
28,0.01923076994717121,54994463711700209
29,0.03448275849223137,63637422125995966
30,0.0,64003104950392766
31,0.0,70194089333258446
32,0.0,70868581734730997
33,0.06666667014360428,72000285372839536
34,0.02222222276031971,72885977334533908
35,0.0,80395690012900671
36,0.007380073890089989,85631722935995449
37,0.0,87835326499840480
38,0.0,90861367471434581
39,0.0,91876841359266652
40,0.03333333507180214,92269408320140735
41,0.0,92747985760717492
42,0.033834587782621384,94147677246681545
43,0.0,94360926237923000
44,0.0,98000314630858524
45,0.0,99652409147806996
46,0.00909090880304575,101118881189850130
47,0.00931098684668541,101123793812656776
48,0.0,101533175385106566
49,0.0,103241140945243725
50,0.0,104031991430304660
51,0.0,109059776635347951
52,0.0,113667924973038510
53,0.025641025975346565,115236083767375889
54,0.0,115277172615788710
55,0.0,115523237854863523
56,0.02054794505238533,116160454146879691
57,0.0,117943314610408321
58,0.0,120731925127661509
59,0.027027027681469917,121401443757384393
60,0.0,124023455267996679
61,0.0,128671055539100882
62,0.016759777441620827,128820354620944539
63,0.0,133399385504713111
64,0.06185567006468773,140890099625779626
65,0.04109589010477066,142813026134324203
66,0.0,143224228470070973
67,0.0,150228940111653652
68,0.0,153663898035375865
69,0.0,153837710589426459
70,0.011904762126505375,154782945228312432
71,0.0,160196130624661011
72,0.013333333656191826,172292670390286787
73,0.0,173084685697478503
74,0.0,173446595818466136
75,0.0016666667070239782,180517674994060018
76,0.0,182646377538806199
77,0.0,183814606593913701
78,0.25,185013505897769527
79,0.014227642677724361,185374726844308312
80,0.0,186080162486688852
81,0.0,188607251329286890
82,0.045045044273138046,191677746414616671
83,0.0476190485060215,191850466162756696
84,0.0,195387032495072084
85,0.01077199261635542,196039857713241649
86,0.02469135820865631,196648111331273414
87,0.018518518656492233,197886595645310686
88,0.012500000186264515,198721260220074568
89,0.025974025949835777,199493317809687243
90,0.0,200015456373042813
91,0.021396396681666374,202998820465023856
92,0.0,206776659039284584
93,0.0,208716925390952691
94,0.0,208955845320604062
95,0.0,210138790146029900
96,0.0,211582173134148533
97,0.0555555559694767,213090253310175056
98,0.0,214883517317021303
99,0.0,216858511681121454
100,0.0,217032666455550939
101,0.0,218522008062630697
102,0.0,223727811203119046
103,0.0,224616227622376764
104,0.0,229282760038393926
105,0.0,229711241007819328
106,0.0,233324302997669630
107,0.0,235902204749658964
108,0.0,243262382978902763
109,0.0,244368155683718473
110,0.0,248773783637640509
111,0.0181818176060915,251054078649879597
112,0.0,252375590321838660
113,0.0,253317545146342513
114,0.0,253965066028137041
115,0.0,256085690572608023
116,0.0,256735687445471139
117,0.06976744532585144,258044591805576566
118,0.0,258452673938043728
119,0.023255813866853714,258489200405441729
120,0.0,264448104858142683
121,0.007518797181546688,265993255463173855
122,0.0,266386954990819620
123,0.0,267939960187864312
124,0.0,269281171454785516
125,0.0,272925568984302049
126,0.0,277196093579537206
127,0.1111111119389534,281152804450004918
128,0.0,281707574731043370
129,0.0,283403651348899906
130,0.0,288205018790234015
131,0.01244813296943903,290978936762014487
132,0.0,291555077754222073
133,0.0,294090495697464362
134,0.022727273404598236,297421886762472103
135,0.0,302349687293152337
136,0.0,308328450842497133
137,0.0,309415250814430612
138,0.015384615398943424,310197748316441235
139,0.0,317583919512857842
140,0.0,319551127434411946
141,0.0,322567786758307532
142,0.006802720949053764,323195289690023120
143,0.007444168906658888,328280611528216022
144,0.01923076994717121,329470548383752413
145,0.0,330549462226835253
146,0.0,330677725240722660
147,0.0,333827844214083472
148,0.0,336963659943575001
149,0.0,338206581146925705
150,0.0,338872183236132559
151,0.0,339301187476708100
152,0.0,342934338190708160
153,0.008403361774981022,351725354191607807
154,0.019999999552965164,354558446532405768
155,0.018003273755311966,355059363857937274
